geneID,Cond WT Rep 1,Cond WT Rep 2,Cond WT Rep 3,Cond Mt Rep 1,Cond Mt Rep 2,Cond Mt Rep 3
Solyc00g027140.1.1,0,0,1,0,0,0
Solyc00g027640.1.1,0,0,0,0,0,0
Solyc00g027650.1.1,0,0,0,0,0,0
Solyc00g027660.1.1,0,0,0,0,0,0
Solyc00g027670.1.1,0,0,0,0,0,0
Solyc00g027770.2.1,658,559,663,756,751,605
Solyc00g027870.1.1,0,0,0,0,0,0
Solyc00g027970.1.1,0,0,0,0,0,0
Solyc00g027980.1.1,0,0,0,0,0,0
Solyc00g027990.1.1,0,0,0,0,0,0
Solyc00g028090.1.1,0,0,0,0,0,0
Solyc00g028100.1.1,0,0,0,0,0,0
Solyc00g028110.1.1,0,0,0,0,0,0
Solyc00g028120.1.1,0,0,0,0,0,0
Solyc00g028420.1.1,0,0,0,0,0,0
Solyc00g028520.1.1,0,0,0,0,0,0
Solyc00g028530.1.1,0,0,0,0,0,0
Solyc00g028540.1.1,0,0,0,0,0,0
Solyc00g028550.1.1,0,0,0,0,0,0
Solyc00g028560.1.1,0,0,0,0,0,0
Solyc00g028760.1.1,0,0,0,0,0,0
Solyc00g028960.1.1,1,3,0,2,1,1
Solyc00g029060.1.1,0,0,0,0,0,0
Solyc00g029070.1.1,0,0,0,0,0,0
Solyc00g029080.1.1,0,0,0,0,0,0
Solyc00g029090.1.1,0,0,0,0,0,0
Solyc00g029190.2.1,56,38,43,17,13,21
Solyc00g029290.1.1,0,0,0,0,0,0
Solyc00g029300.1.1,0,0,0,0,0,0
Solyc00g029500.1.1,0,0,0,0,0,0
Solyc00g029800.1.1,0,0,0,0,0,0
Solyc00g030000.1.1,11,8,10,31,26,15
Solyc00g030100.1.1,9,2,4,7,1,10
Solyc00g030110.1.1,0,0,0,0,0,0
Solyc00g030210.1.1,0,0,0,0,0,0
Solyc00g030510.2.1,56962,41915,114515,46972,35025,38135
Solyc00g030520.2.1,225,269,704,302,283,268
Solyc00g030820.1.1,2,0,0,2,1,2
Solyc00g031020.1.1,0,0,0,0,0,0
Solyc00g031030.1.1,0,0,0,0,0,0
Solyc00g031040.1.1,0,0,0,0,0,0
Solyc00g031050.1.1,0,0,0,0,0,0
Solyc00g031060.1.1,0,0,0,0,0,0
Solyc00g031360.1.1,0,0,0,0,0,0
Solyc00g031370.1.1,0,0,0,0,0,0
Solyc00g031380.1.1,0,0,0,0,0,0
Solyc00g031390.1.1,0,0,0,0,0,0
Solyc00g031490.1.1,0,0,0,0,0,0
Solyc00g031500.1.1,0,0,0,0,0,0
Solyc00g031700.1.1,0,0,0,0,0,0
Solyc00g031710.1.1,0,0,0,0,0,0
Solyc00g031720.1.1,0,0,0,0,0,0
Solyc00g031730.1.1,0,0,0,0,0,0
Solyc00g032030.1.1,0,2,2,0,0,0
Solyc00g032230.1.1,0,0,0,0,0,0
Solyc00g032940.1.1,0,0,5,0,0,0
Solyc00g033460.2.1,88,61,71,18,18,9
Solyc00g033860.1.1,0,0,0,0,0,0
Solyc00g033870.1.1,0,0,0,0,0,0
Solyc00g033880.1.1,0,0,0,0,0,0
Solyc00g033890.1.1,0,0,0,0,0,0
Solyc00g033990.1.1,0,0,0,0,0,0
Solyc00g034000.1.1,0,0,0,0,0,0
Solyc00g034010.1.1,0,0,0,0,0,0
Solyc00g034810.1.1,0,0,0,0,0,0
Solyc00g035010.1.1,0,0,0,0,0,0
Solyc00g035020.1.1,0,0,0,0,0,0
Solyc00g036320.1.1,0,1,0,3,1,1
Solyc00g036520.1.1,0,0,0,0,0,0
Solyc00g036530.1.1,0,0,0,0,0,0
Solyc00g036540.1.1,0,0,0,0,0,0
Solyc00g036740.1.1,0,0,0,0,0,0
Solyc00g036750.1.1,0,0,0,0,0,0
Solyc00g036760.1.1,0,0,0,0,0,0
Solyc00g036960.1.1,0,0,0,0,0,0
Solyc00g038390.1.1,0,0,0,0,0,0
Solyc00g039290.1.1,0,0,1,0,0,0
