Taxonomy,Sample,Abundance,basin,Phylum,Class,Order,Family,Core,Depth
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,CS_48,316,Caspian,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,1,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,CS_2_04,174,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,2,0-4 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,CS,112,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,,
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,CS_2_1216,37,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,2,12-16 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Med_04,74,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,1,0-4 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,CS_2_2024,2,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,2,20-24 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Med_1216,4,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,1,12-16 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,CS_2_3235,5,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,2,32-35 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Med_1620,210,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,1,16-20 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,CS_2_48,NA,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,2,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Med_2428,247,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,1,24-28 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,CS_2_812,32,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,2,8-12 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Med_48,86,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,1,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,CS_48,10,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,1,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,CS_2_04,167,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,2,0-4 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,CS,10,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,,
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,CS_2_1216,NA,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,2,12-16 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,Med_04,47,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,1,0-4 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,CS_2_2024,NA,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,2,20-24 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,Med_1216,NA,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,1,12-16 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,CS_2_3235,NA,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,2,32-35 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,Med_1620,153,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,1,16-20 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,CS_2_48,NA,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,2,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,Med_2428,278,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,1,24-28 cm
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28,CS_2_812,15,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,2,8-12 cm
